t,x,y,yaw,v
8.3400,24.2265,14.6684,0.481415,0.5767
8.3600,24.2370,14.6739,0.481415,0.5915
8.3800,24.2477,14.6795,0.481415,0.6060
8.4000,24.2587,14.6852,0.481415,0.6202
8.4200,24.2700,14.6911,0.481415,0.6339
8.4400,24.2814,14.6971,0.481415,0.6473
8.4600,24.2931,14.7032,0.481415,0.6604
8.4800,24.3051,14.7095,0.481415,0.6731
8.5000,24.3182,14.7163,0.481415,0.7431
8.5200,24.3327,14.7239,0.481415,0.8131
8.5400,24.3483,14.7321,0.481415,0.8831
8.5600,24.3652,14.7409,0.481415,0.9531
8.5800,24.3833,14.7504,0.481415,1.0231
8.6000,24.4027,14.7605,0.481415,1.0931
8.6200,24.4233,14.7712,0.481415,1.1631
8.6400,24.4452,14.7827,0.481415,1.2331
8.6600,24.4683,14.7947,0.481415,1.3031
8.6800,24.4926,14.8075,0.481415,1.3731
8.7000,24.5182,14.8208,0.481415,1.4431
8.7200,24.5450,14.8348,0.481415,1.5131
8.7400,24.5731,14.8495,0.481415,1.5831
8.7600,24.6024,14.8648,0.481415,1.6531
8.7800,24.6330,14.8808,0.481415,1.7231
8.8000,24.6648,14.8974,0.481415,1.7931
8.8200,24.6978,14.9146,0.481415,1.8631
8.8400,24.7320,14.9325,0.481415,1.9331
8.8600,24.7676,14.9511,0.481415,2.0031
8.8800,24.8043,14.9703,0.481415,2.0731
8.9000,24.8423,14.9901,0.481415,2.1431
8.9200,24.8815,15.0106,0.481415,2.2131
8.9400,24.9220,15.0318,0.481415,2.2831
8.9600,24.9637,15.0535,0.481415,2.3531
8.9800,24.1646,14.6361,0.970107,0.0000
9.0000,24.1646,14.6361,0.970107,0.0000
9.0200,24.1650,14.6366,0.970107,0.0300
9.0400,24.1656,14.6376,0.970107,0.0578
9.0600,24.1666,14.6390,0.970107,0.0850
9.0800,24.1679,14.6408,0.970107,0.1116
9.1000,24.1694,14.6431,0.970107,0.1376
9.1200,24.1713,14.6458,0.970107,0.1629
9.1400,24.1734,14.6489,0.970107,0.1877
9.1600,24.1758,14.6523,0.970107,0.2119
9.1800,24.1784,14.6562,0.970107,0.2356
9.2000,24.1814,14.6605,0.970107,0.2587
9.2200,24.1845,14.6651,0.970107,0.2812
9.2400,24.1880,14.6701,0.970107,0.3032
9.2600,24.1916,14.6755,0.970107,0.3247
9.2800,24.1955,14.6812,0.970107,0.3457
9.3000,24.1997,14.6872,0.970107,0.3662
9.3200,24.2041,14.6936,0.970107,0.3862
9.3400,24.2086,14.7003,0.970107,0.4057
9.3600,24.2134,14.7073,0.970107,0.4248
9.3800,24.2185,14.7146,0.970107,0.4434
9.4000,24.2237,14.7223,0.970107,0.4615
9.4200,24.2291,14.7302,0.970107,0.4792
9.4400,24.2347,14.7384,0.970107,0.4965
9.4600,24.2405,14.7468,0.970107,0.5133
9.4800,24.2465,14.7556,0.970107,0.5298
9.5000,24.2527,14.7646,0.970107,0.5458
9.5200,24.2590,14.7738,0.970107,0.5614
9.5400,24.2655,14.7833,0.970107,0.5767
9.5600,24.2722,14.7931,0.970107,0.5915
9.5800,24.2791,14.8031,0.970107,0.6060
9.6000,24.2861,14.8133,0.970107,0.6202
9.6200,24.2932,14.8238,0.970107,0.6339
9.6400,24.3006,14.8345,0.970107,0.6473
9.6600,24.3080,14.8454,0.970107,0.6604
9.6800,24.3156,14.8565,0.970107,0.6731
9.7000,24.3240,14.8687,0.970107,0.7431
9.7200,24.3332,14.8822,0.970107,0.8131
9.7400,24.3432,14.8967,0.970107,0.8831
9.7600,24.3540,14.9125,0.970107,0.9531
9.7800,24.3656,14.9293,0.970107,1.0231
9.8000,24.3779,14.9474,0.970107,1.0931
9.8200,24.3911,14.9666,0.970107,1.1631
9.8400,24.4050,14.9869,0.970107,1.2331
9.8600,24.4197,15.0084,0.970107,1.3031
9.8800,24.4353,15.0311,0.970107,1.3731
9.9000,24.4516,15.0549,0.970107,1.4431
9.9200,24.4687,15.0798,0.970107,1.5131
9.9400,24.4866,15.1060,0.970107,1.5831
9.9600,24.5053,15.1332,0.970107,1.6531
9.9800,24.5247,15.1617,0.970107,1.7231
10.0000,24.5450,15.1912,0.970107,1.7931
10.0200,24.5661,15.2220,0.970107,1.8631
10.0400,24.5879,15.2539,0.970107,1.9331
10.0600,24.6106,15.2869,0.970107,2.0031
10.0800,24.6340,15.3211,0.970107,2.0731
10.1000,24.6582,15.3565,0.970107,2.1431
10.1200,24.6832,15.3930,0.970107,2.2131
10.1400,24.7090,15.4307,0.970107,2.2831
10.1600,24.7356,15.4695,0.970107,2.3531
10.1800,24.7630,15.5095,0.970107,2.4231
10.2000,24.7912,15.5506,0.970107,2.4931
10.2200,24.8202,15.5929,0.970107,2.5631
10.2400,24.8500,15.6363,0.970107,2.6331
10.2600,24.8805,15.6809,0.970107,2.7031
10.2800,24.9119,15.7267,0.970107,2.7731
10.3000,24.9440,15.7736,0.970107,2.8431
10.3200,24.9769,15.8217,0.970107,2.9131
10.3400,24.4737,15.0872,1.458799,0.0000
10.3600,24.4737,15.0872,1.458799,0.0000
10.3800,24.4738,15.0878,1.458799,0.0300
10.4000,24.4739,15.0889,1.458799,0.0578
10.4200,24.4741,15.0906,1.458799,0.0850
10.4400,24.4743,15.0928,1.458799,0.1116
10.4600,24.4747,15.0956,1.458799,0.1376
10.4800,24.4750,15.0988,1.458799,0.1629
10.5000,24.4754,15.1025,1.458799,0.1877
10.5200,24.4759,15.1068,1.458799,0.2119
10.5400,24.4764,15.1114,1.458799,0.2356
10.5600,24.4770,15.1166,1.458799,0.2587
10.5800,24.4776,15.1222,1.458799,0.2812
10.6000,24.4783,15.1282,1.458799,0.3032
10.6200,24.4790,15.1347,1.458799,0.3247
10.6400,24.4798,15.1415,1.458799,0.3457
10.6600,24.4806,15.1488,1.458799,0.3662
10.6800,24.4815,15.1565,1.458799,0.3862
10.7000,24.4824,15.1645,1.458799,0.4057
10.7200,24.4834,15.1730,1.458799,0.4248
10.7400,24.4844,15.1818,1.458799,0.4434
10.7600,24.4854,15.1910,1.458799,0.4615
10.7800,24.4865,15.2005,1.458799,0.4792
10.8000,24.4876,15.2104,1.458799,0.4965
10.8200,24.4887,15.2206,1.458799,0.5133
10.8400,24.4899,15.2311,1.458799,0.5298
10.8600,24.4911,15.2419,1.458799,0.5458
10.8800,24.4924,15.2531,1.458799,0.5614
10.9000,24.4937,15.2646,1.458799,0.5767
10.9200,24.4950,15.2763,1.458799,0.5915
10.9400,24.4963,15.2884,1.458799,0.6060
10.9600,24.4977,15.3007,1.458799,0.6202
10.9800,24.4991,15.3133,1.458799,0.6339
11.0000,24.5006,15.3262,1.458799,0.6473
11.0200,24.5021,15.3393,1.458799,0.6604
11.0400,24.5036,15.3527,1.458799,0.6731
11.0600,24.5052,15.3674,1.458799,0.7431
11.0800,24.5070,15.3836,1.458799,0.8131
