t,zx,zy,xhat,yhat,vxhat,vyhat
5.6600,64.0014,52.4295,64.4142,52.7660,-1.3456,-0.1258
5.6800,61.0044,55.8667,61.5118,55.4013,-2.1913,0.6500
5.7000,64.3839,54.4499,63.9465,54.5946,-1.4623,0.4089
5.7200,62.2729,56.5556,62.5195,56.2626,-1.8734,0.8971
5.7400,63.3947,57.2170,63.2578,57.0765,-1.6452,1.1313
5.7600,64.9902,55.9155,64.7254,56.0931,-1.2039,0.8353
5.7800,63.0421,54.0906,63.2910,54.3934,-1.6187,0.3305
5.8000,63.5827,54.3729,63.5341,54.3770,-1.5377,0.3237
5.8200,61.0425,56.6062,61.4117,56.2728,-2.1529,0.8794
5.8400,60.5865,55.0794,60.7038,55.2611,-2.3484,0.5767
5.8600,64.7263,54.2046,64.1158,54.3648,-1.3311,0.3097
5.8800,61.5420,54.8300,61.9241,54.7612,-1.9679,0.4244
5.9000,61.4253,54.1461,61.4943,54.2396,-2.0827,0.2686
5.9200,65.2493,53.8735,64.6798,53.9292,-1.1336,0.1757
5.9400,61.6845,57.0066,62.1304,56.5455,-1.8767,0.9442
5.9600,63.5963,56.2141,63.3708,56.2667,-1.5008,0.8566
5.9800,62.3083,53.8374,62.4632,54.2043,-1.7590,0.2450
6.0000,62.2747,54.7541,62.2977,54.6724,-1.7973,0.3812
6.0200,63.6829,52.7700,63.4697,53.0565,-1.4420,-0.0963
6.0400,58.5093,54.8151,59.2491,54.5510,-2.6749,0.3438
6.0600,66.5109,52.0081,65.4136,52.3906,-0.8461,-0.2936
6.0800,63.8762,58.0405,64.1043,57.1921,-1.2262,1.1203
6.1000,64.3141,55.7199,64.2790,55.9441,-1.1676,0.7467
6.1200,62.1619,51.4943,62.4759,52.1640,-1.6910,-0.3695
6.1400,60.3010,54.1800,60.6222,53.8765,-2.2263,0.1363
6.1600,61.9705,55.7420,61.7616,55.4626,-1.8781,0.6020
6.1800,62.1608,53.9448,62.0953,54.1742,-1.7689,0.2196
6.2000,67.0490,54.1685,66.3006,54.1700,-0.5216,0.2170
6.2200,61.5609,52.6161,62.2703,52.8498,-1.7039,-0.1725
6.2400,62.2623,52.7902,62.2584,52.7986,-1.6974,-0.1866
6.2600,64.3169,52.6839,64.0030,52.7005,-1.1743,-0.2143
6.2800,63.4503,54.6931,63.5297,54.3936,-1.3066,0.2849
6.3000,61.8161,54.1024,62.0692,54.1469,-1.7285,0.2106
6.3200,63.4712,57.6189,63.2557,57.0988,-1.3693,1.0776
6.3400,60.5757,53.1160,60.9736,53.7166,-2.0325,0.0765
6.3600,60.3395,58.3416,60.4286,57.6481,-2.1808,1.2324
