t,steer_rad,accel,v_ref,cte,wp_idx
6.4800,-0.558505,1.407821,8.0000,1.8968,2
6.5000,-0.021656,1.407821,8.0000,1.2593,1
6.5200,-0.021620,1.407821,8.0000,1.0996,1
6.5400,-0.201939,1.407821,8.0000,1.7400,2
6.5600,-0.201689,1.407821,8.0000,1.5924,1
6.5800,-0.201419,1.407821,8.0000,1.4465,1
6.6000,0.014668,1.407821,8.0000,1.8697,1
6.6200,0.014650,1.407821,8.0000,1.7099,1
6.6400,0.014630,1.407821,8.0000,1.5501,1
6.6600,0.014609,1.407821,8.0000,1.3904,1
6.6800,0.014586,1.407821,8.0000,1.2308,1
6.7000,0.014562,1.407821,8.0000,1.0712,1
6.7200,0.014535,1.407821,8.0000,2.3228,2
6.7400,-0.187679,1.407821,8.0000,1.5768,1
6.7600,-0.467404,1.407821,8.0000,1.4310,1
6.7800,0.052410,1.407821,8.0000,1.8434,1
6.8000,0.052345,1.407821,8.0000,1.6839,1
6.8200,0.052274,1.407821,8.0000,1.5245,1
6.8400,0.052198,1.407821,8.0000,1.3652,1
6.8600,0.052117,1.407821,8.0000,1.2059,1
6.8800,0.052028,1.407821,8.0000,1.0469,1
6.9000,0.051932,1.407821,8.0000,2.2979,2
6.9200,-0.161586,1.407821,8.0000,1.5463,1
6.9400,0.040587,1.407821,8.0000,1.9785,1
6.9600,0.040539,1.407821,8.0000,1.8189,1
6.9800,0.040488,1.407821,8.0000,1.6594,1
7.0000,0.040432,1.407821,8.0000,1.4999,1
7.0200,-0.238529,1.407821,8.0000,1.3405,1
7.0400,0.063781,1.407821,8.0000,1.1816,1
7.0600,-0.126685,1.407821,8.0000,1.0229,1
7.0800,0.080750,1.407821,8.0000,2.2731,2
7.1000,-0.142139,1.407821,8.0000,1.5156,1
7.1200,0.059333,1.407821,8.0000,1.9542,1
7.1400,-0.259214,1.407821,8.0000,1.2220,1
7.1600,-0.148976,1.407821,8.0000,1.6362,1
7.1800,-0.148698,1.407821,8.0000,1.4778,1
7.2000,-0.530023,1.407821,8.0000,1.8116,2
7.2200,-0.021144,1.407821,8.0000,1.1644,1
7.2400,-0.021118,1.407821,8.0000,1.0101,1
7.2600,-0.021090,1.407821,8.0000,1.6181,1
7.2800,-0.021060,1.407821,8.0000,1.4622,1
7.3000,-0.021028,1.407821,8.0000,1.3073,1
7.3200,0.172924,1.407821,8.0000,1.7871,1
7.3400,0.172715,1.407821,8.0000,1.6318,1
7.3600,0.172489,1.407821,8.0000,1.4771,1
7.3800,-0.019364,1.407821,8.0000,1.3231,1
7.4000,-0.019341,1.407821,8.0000,1.1708,1
7.4200,-0.269450,1.407821,8.0000,1.7233,1
7.4400,0.000232,1.407821,8.0000,1.5651,1
7.4600,0.000232,1.407821,8.0000,1.4072,1
7.4800,0.000232,1.407821,8.0000,1.2500,1
7.5000,0.000231,1.407821,8.0000,1.7865,1
7.5200,0.000231,1.407821,8.0000,1.6342,1
7.5400,-0.439601,1.407821,8.0000,1.7531,2
7.5600,0.265595,1.407821,8.0000,1.3366,1
7.5800,-0.183141,1.407821,8.0000,1.8384,1
7.6000,-0.469696,1.407821,8.0000,1.3544,1
7.6200,-0.154816,1.407821,8.0000,1.5185,1
7.6400,-0.488751,1.407821,8.0000,1.1155,1
7.6600,-0.002024,1.407821,8.0000,1.1986,1
7.6800,-0.002022,1.407821,8.0000,1.0387,1
7.7000,0.208690,1.407821,8.0000,2.2878,2
7.7200,0.208294,1.407821,8.0000,1.5462,1
7.7400,0.154019,1.407821,8.0000,1.9701,1
7.7600,0.153846,1.407821,8.0000,1.8112,1
7.7800,-0.070408,1.407821,8.0000,1.6524,1
7.8000,-0.070276,1.407821,8.0000,1.4938,1
7.8200,-0.462133,1.407821,8.0000,1.9287,2
7.8400,0.241841,1.407821,8.0000,1.1792,1
7.8600,0.029256,1.407821,8.0000,1.0232,1
