t,event,detail
8.5400,REPLAN,goal_moved
8.5600,REPLAN,goal_moved
8.5800,REPLAN,goal_moved
8.6000,REPLAN,goal_moved
8.6200,REPLAN,goal_moved
8.6400,REPLAN,goal_moved
8.6600,REPLAN,goal_moved
8.6800,REPLAN,goal_moved
8.7000,REPLAN,goal_moved
8.7200,REPLAN,goal_moved
8.7400,REPLAN,goal_moved
8.7600,REPLAN,goal_moved
8.7800,REPLAN,goal_moved
8.8000,REPLAN,goal_moved
8.8200,REPLAN,goal_moved
8.8400,REPLAN,goal_moved
8.8600,REPLAN,goal_moved
8.8800,REPLAN,goal_moved
8.9000,REPLAN,goal_moved
8.9200,REPLAN,goal_moved
8.9400,REPLAN,goal_moved
8.9600,REPLAN,goal_moved
8.9800,REPLAN,goal_moved
9.0000,REPLAN,goal_moved
9.0200,REPLAN,goal_moved
9.0400,REPLAN,goal_moved
9.0600,REPLAN,goal_moved
9.0800,REPLAN,goal_moved
9.1000,REPLAN,goal_moved
9.1200,REPLAN,goal_moved
9.1400,REPLAN,goal_moved
9.1600,REPLAN,goal_moved
9.1800,REPLAN,goal_moved
9.2200,REPLAN,goal_moved
9.2400,REPLAN,goal_moved
9.2600,REPLAN,goal_moved
9.2800,REPLAN,goal_moved
9.3000,REPLAN,goal_moved
9.3200,REPLAN,goal_moved
9.3400,REPLAN,goal_moved
9.3600,REPLAN,goal_moved
9.3800,REPLAN,goal_moved
9.4000,REPLAN,goal_moved
9.4200,REPLAN,goal_moved
9.4400,REPLAN,goal_moved
9.4600,REPLAN,goal_moved
9.4800,REPLAN,goal_moved
9.5000,REPLAN,goal_moved
9.5200,REPLAN,goal_moved
9.5600,REPLAN,goal_moved
9.5800,REPLAN,goal_moved
9.6000,REPLAN,goal_moved
9.6200,REPLAN,goal_moved
9.6400,REPLAN,goal_moved
9.6600,REPLAN,goal_moved
9.6800,REPLAN,goal_moved
9.7000,REPLAN,goal_moved
9.7200,REPLAN,goal_moved
9.7400,REPLAN,goal_moved
9.7600,REPLAN,goal_moved
9.7800,REPLAN,goal_moved
9.8000,REPLAN,goal_moved
9.8200,REPLAN,goal_moved
9.8400,REPLAN,goal_moved
9.8600,REPLAN,goal_moved
9.8800,REPLAN,goal_moved
9.9000,REPLAN,goal_moved
9.9200,REPLAN,goal_moved
9.9400,REPLAN,goal_moved
9.9600,REPLAN,goal_moved
9.9800,REPLAN,goal_moved
10.0000,REPLAN,goal_moved
10.0200,REPLAN,goal_moved
10.0400,REPLAN,goal_moved
10.0600,REPLAN,goal_moved
10.0800,REPLAN,goal_moved
10.1000,STATUS,x=48.88 y=53.29 v=7.58 phase=0 wp=1
10.1000,REPLAN,goal_moved
10.1200,REPLAN,goal_moved
10.1400,REPLAN,goal_moved
10.1600,REPLAN,goal_moved
10.1800,REPLAN,goal_moved
10.2000,REPLAN,goal_moved
10.2200,REPLAN,goal_moved
10.2400,REPLAN,goal_moved
10.2600,REPLAN,goal_moved
10.2800,REPLAN,goal_moved
10.3000,REPLAN,goal_moved
10.3200,REPLAN,goal_moved
10.3400,REPLAN,goal_moved
10.3600,REPLAN,goal_moved
10.3800,REPLAN,goal_moved
10.4000,REPLAN,goal_moved
10.4200,REPLAN,goal_moved
10.4400,REPLAN,goal_moved
10.4600,REPLAN,goal_moved
10.4800,REPLAN,goal_moved
10.5000,REPLAN,goal_moved
10.5200,REPLAN,goal_moved
10.5400,REPLAN,goal_moved
10.5600,REPLAN,goal_moved
10.5800,REPLAN,goal_moved
10.6000,REPLAN,goal_moved
10.6200,REPLAN,goal_moved
10.6200,REACHED,goal
