t,x,y,yaw,v
5.8000,23.5244,31.6632,1.515222,8.0000
5.8200,23.5358,31.8228,1.499686,8.0000
5.8400,23.5496,31.9822,1.484175,8.0000
5.8600,23.5659,32.1413,1.468692,8.0000
5.8800,23.5856,32.3001,1.447868,8.0000
5.9000,23.6107,32.4581,1.413171,8.0000
5.9200,23.6389,32.6156,1.393375,8.0000
5.9400,23.6703,32.7725,1.373603,8.0000
5.9600,23.7047,32.9288,1.353856,8.0000
5.9800,23.7422,33.0843,1.334137,8.0000
6.0000,23.7846,33.2386,1.302920,8.0000
6.0200,23.8298,33.3921,1.284279,8.0000
6.0400,23.8779,33.5447,1.265674,8.0000
6.0600,23.9309,33.6956,1.232602,8.0000
6.0800,23.9867,33.8456,1.214968,8.0000
6.1000,24.0450,33.9946,1.197353,8.0000
6.1200,24.1060,34.1425,1.179761,8.0000
6.1400,24.1696,34.2893,1.162192,8.0000
6.1600,24.2371,34.4344,1.135567,8.0000
6.1800,24.3084,34.5776,1.108967,8.0000
6.2000,24.3834,34.7189,1.082393,8.0000
6.2200,24.4639,34.8572,1.043939,8.0000
6.2400,24.5478,34.9934,1.018351,8.0000
6.2600,24.6353,35.1275,0.992798,8.0000
6.2800,24.7239,35.2607,0.983699,8.0000
6.3000,24.8161,35.3914,0.956764,8.0000
6.3200,24.9093,35.5215,0.949126,8.0000
6.3400,25.0034,35.6509,0.941500,8.0000
6.3600,25.0999,35.7785,0.923413,8.0000
6.3800,25.1987,35.9043,0.905348,8.0000
6.4000,25.2998,36.0284,0.887306,8.0000
6.4200,25.4013,36.1520,0.883157,8.0000
6.4400,25.5034,36.2753,0.879013,8.0000
6.4600,25.6060,36.3981,0.874874,8.0000
6.4800,25.7132,36.5168,0.836421,8.0000
6.5000,25.8205,36.6354,0.835088,8.0000
6.5200,25.9281,36.7539,0.833757,8.0000
6.5400,26.0371,36.8710,0.821159,8.0000
6.5600,26.1476,36.9867,0.808576,8.0000
6.5800,26.2595,37.1011,0.796011,8.0000
6.6000,26.3713,37.2155,0.796913,8.0000
6.6200,26.4831,37.3300,0.797815,8.0000
6.6400,26.5947,37.4447,0.798715,8.0000
6.6600,26.7062,37.5594,0.799614,8.0000
6.6800,26.8176,37.6742,0.800512,8.0000
6.7000,26.9289,37.7892,0.801408,8.0000
6.7200,27.0401,37.9042,0.802303,8.0000
6.7400,27.1527,38.0179,0.790616,8.0000
6.7600,27.2687,38.1281,0.759557,8.0000
6.7800,27.3844,38.2387,0.762785,8.0000
6.8000,27.4997,38.3496,0.766009,8.0000
6.8200,27.6146,38.4609,0.769229,8.0000
6.8400,27.7292,38.5725,0.772444,8.0000
6.8600,27.8435,38.6846,0.775654,8.0000
6.8800,27.9573,38.7970,0.778859,8.0000
6.9000,28.0709,38.9097,0.782058,8.0000
6.9200,28.1855,39.0213,0.772026,8.0000
6.9400,28.2999,39.1332,0.774525,8.0000
6.9600,28.4139,39.2454,0.777022,8.0000
6.9800,28.5277,39.3579,0.779514,8.0000
7.0000,28.6413,39.4706,0.782004,8.0000
7.0200,28.7564,39.5817,0.767040,8.0000
7.0400,28.8712,39.6932,0.770971,8.0000
7.0600,28.9868,39.8038,0.763133,8.0000
7.0800,29.1019,39.9149,0.768113,8.0000
7.1000,29.2180,40.0251,0.759306,8.0000
7.1200,29.3336,40.1356,0.762962,8.0000
7.1400,29.4510,40.2443,0.746643,8.0000
7.1600,29.5695,40.3519,0.737407,8.0000
7.1800,29.6889,40.4584,0.728188,8.0000
7.2000,29.8121,40.5605,0.692130,8.0000
7.2200,29.9354,40.6624,0.690829,8.0000
7.2400,30.0588,40.7642,0.689529,8.0000
7.2600,30.1824,40.8658,0.688231,8.0000
7.2800,30.3061,40.9673,0.686935,8.0000
7.3000,30.4300,41.0686,0.685640,8.0000
7.3200,30.5527,41.1713,0.696389,8.0000
7.3400,30.6744,41.2752,0.707125,8.0000
7.3600,30.7949,41.3804,0.717846,8.0000
7.3800,30.9155,41.4855,0.716654,8.0000
7.4000,31.0363,41.5905,0.715464,8.0000
7.4200,31.1588,41.6934,0.698469,8.0000
7.4400,31.2813,41.7963,0.698483,8.0000
7.4600,31.4039,41.8992,0.698498,8.0000
7.4800,31.5264,42.0021,0.698512,8.0000
7.5000,31.6489,42.1049,0.698526,8.0000
7.5200,31.7715,42.2078,0.698540,8.0000
7.5400,31.8969,42.3072,0.669599,8.0000
7.5600,32.0207,42.4085,0.686339,8.0000
7.5800,32.1456,42.5085,0.674941,8.0000
7.6000,32.2736,42.6045,0.643705,8.0000
7.6200,32.4025,42.6993,0.634101,8.0000
7.6400,32.5344,42.7899,0.601376,8.0000
7.6600,32.6663,42.8804,0.601251,8.0000
7.6800,32.7983,42.9709,0.601127,8.0000
7.7000,32.9291,43.0631,0.614159,8.0000
7.7200,33.0586,43.1570,0.627166,8.0000
7.7400,33.1873,43.2521,0.636720,8.0000
7.7600,33.3150,43.3484,0.646262,8.0000
7.7800,33.4431,43.4442,0.641922,8.0000
7.8000,33.5717,43.5395,0.637591,8.0000
7.8200,33.7031,43.6307,0.606938,8.0000
7.8400,33.8332,43.7240,0.622117,8.0000
7.8600,33.9630,43.8175,0.623918,8.0000
7.8800,34.0942,43.9090,0.609300,8.0000
7.9000,34.2270,43.9983,0.591555,8.0000
7.9200,34.3611,44.0856,0.577277,8.0000
7.9400,34.4946,44.1737,0.583605,8.0000
7.9600,34.6265,44.2643,0.601433,8.0000
7.9800,34.7580,44.3555,0.606685,8.0000
8.0000,34.8877,44.4492,0.625437,8.0000
8.0200,35.0169,44.5435,0.630568,8.0000
8.0400,35.1471,44.6366,0.621077,8.0000
8.0600,35.2766,44.7305,0.627291,8.0000
8.0800,35.4071,44.8230,0.616419,8.0000
8.1000,35.5387,44.9141,0.605569,8.0000
8.1200,35.6694,45.0064,0.614687,8.0000
8.1400,35.8018,45.0962,0.595968,8.0000
8.1600,35.9359,45.1835,0.577275,8.0000
8.1800,36.0677,45.2742,0.602399,8.0000
8.2000,36.1986,45.3662,0.612686,8.0000
8.2200,36.3318,45.4549,0.587684,8.0000
8.2400,36.4651,45.5434,0.586457,8.0000
8.2600,36.5971,45.6338,0.600413,8.0000
8.2800,36.7278,45.7260,0.614350,8.0000
8.3000,36.8598,45.8165,0.601002,8.0000
8.3200,36.9915,45.9073,0.603424,8.0000
8.3400,37.1266,45.9930,0.565437,8.0000
8.3600,37.2628,46.0771,0.552896,8.0000
8.3800,37.3974,46.1635,0.570382,8.0000
8.4000,37.5316,46.2507,0.576564,8.0000
8.4200,37.6641,46.3403,0.594833,8.0000
8.4400,37.7950,46.4324,0.613079,8.0000
8.4600,37.9253,46.5251,0.618294,8.0000
8.4800,38.0584,46.6140,0.588513,8.0000
8.5000,38.1939,46.6992,0.561546,8.0000
8.5200,38.3284,46.7858,0.571946,8.0000
8.5400,38.4635,46.8715,0.565168,8.0000
8.5600,38.5998,46.9553,0.551884,8.0000
8.5800,38.7358,47.0395,0.553685,8.0000
8.6000,38.8707,47.1256,0.568626,8.0000
8.6200,39.0069,47.2095,0.551709,8.0000
8.6400,39.1420,47.2952,0.565208,8.0000
8.6600,39.2771,47.3811,0.566465,8.0000
8.6800,39.4139,47.4639,0.544298,8.0000
8.7000,39.5526,47.5437,0.522157,8.0000
8.7200,39.6897,47.6263,0.542215,8.0000
8.7400,39.8250,47.7116,0.562246,8.0000
8.7600,39.9587,47.7996,0.582246,8.0000
8.7800,40.0952,47.8830,0.548793,8.0000
8.8000,40.2310,47.9676,0.556715,8.0000
8.8200,40.3662,48.0532,0.564625,8.0000
8.8400,40.4998,48.1412,0.582835,8.0000
8.8600,40.6317,48.2317,0.601025,8.0000
8.8800,40.7620,48.3246,0.619194,8.0000
8.9000,40.8906,48.4198,0.637339,8.0000
8.9200,41.0219,48.5112,0.608490,8.0000
8.9400,41.1538,48.6018,0.601386,8.0000
8.9600,41.2869,48.6906,0.588669,8.0000
8.9800,41.4191,48.7807,0.598373,8.0000
9.0000,41.5526,48.8690,0.584042,8.0000
9.0200,41.6860,48.9572,0.584302,8.0000
9.0400,41.8225,49.0407,0.548701,8.0000
9.0600,41.9602,49.1222,0.534943,8.0000
9.0800,42.0954,49.2078,0.563809,8.0000
9.1000,42.2295,49.2951,0.577552,8.0000
9.1200,42.3634,49.3826,0.578820,8.0000
9.1400,42.5006,49.4649,0.540366,8.0000
9.1600,42.6396,49.5442,0.518430,8.0000
9.1800,42.7803,49.6204,0.496524,8.0000
9.2000,42.9226,49.6936,0.474651,8.0000
9.2200,43.0665,49.7636,0.452815,8.0000
9.2400,43.2117,49.8306,0.432576,8.0000
9.2600,43.3573,49.8971,0.428313,8.0000
9.2800,43.5014,49.9665,0.448731,8.0000
9.3000,43.6450,50.0370,0.456557,8.0000
9.3200,43.7865,50.1118,0.485941,8.0000
9.3400,43.9264,50.1894,0.506621,8.0000
9.3600,44.0651,50.2692,0.522274,8.0000
9.3800,44.2050,50.3469,0.506727,8.0000
9.4000,44.3444,50.4253,0.512581,8.0000
9.4200,44.4809,50.5089,0.549400,8.0000
9.4400,44.6159,50.5948,0.566664,8.0000
9.4600,44.7504,50.6813,0.571642,8.0000
9.4800,44.8834,50.7703,0.589865,8.0000
9.5000,45.0160,50.8599,0.593865,8.0000
9.5200,45.1517,50.9446,0.557678,8.0000
9.5400,45.2900,51.0251,0.527205,8.0000
9.5600,45.4275,51.1070,0.537409,8.0000
9.5800,45.5662,51.1867,0.522069,8.0000
9.6000,45.7048,51.2638,0.506881,7.9316
9.6200,45.8427,51.3450,0.532647,8.0000
9.6400,45.9784,51.4298,0.558384,8.0000
9.6600,46.1118,51.5180,0.584087,8.0000
9.6800,46.2445,51.6049,0.579662,7.9300
9.7000,46.3788,51.6919,0.575206,8.0000
9.7200,46.5120,51.7806,0.587156,8.0000
9.7400,46.6464,51.8674,0.573958,8.0000
9.7600,46.7823,51.9492,0.541487,7.9300
9.7800,46.9217,52.0270,0.508835,7.9842
9.8000,47.0609,52.1028,0.499167,7.9234
9.8200,47.1962,52.1825,0.531766,7.8534
9.8400,47.3314,52.2651,0.548888,7.9234
9.8600,47.4683,52.3423,0.513306,7.8534
9.8800,47.6023,52.4215,0.533820,7.7873
9.9000,47.7346,52.5011,0.541464,7.7173
9.9200,47.8663,52.5842,0.562890,7.7873
9.9400,47.9973,52.6658,0.557058,7.7173
9.9600,48.1270,52.7509,0.580551,7.7559
9.9800,48.2581,52.8353,0.572185,7.7923
10.0000,48.3874,52.9201,0.580701,7.7326
10.0200,48.5146,53.0097,0.613733,7.7801
10.0400,48.6393,53.1008,0.630340,7.7233
10.0600,48.7599,53.1951,0.663962,7.6533
10.0800,48.8791,53.2889,0.666959,7.5833
10.1000,48.9990,53.3840,0.670659,7.6533
10.1200,49.1228,53.4764,0.640878,7.7233
10.1400,49.2449,53.5686,0.646903,7.6533
10.1600,49.3672,53.6583,0.632685,7.5833
10.1800,49.4894,53.7493,0.640167,7.6183
10.2000,49.6138,53.8358,0.607516,7.5766
10.2200,49.7398,53.9175,0.575197,7.5066
10.2400,49.8635,54.0001,0.589050,7.4366
10.2600,49.9868,54.0851,0.602976,7.4875
10.2800,50.1098,54.1681,0.593709,7.4175
10.3000,50.2355,54.2494,0.574471,7.4875
10.3200,50.3612,54.3332,0.588061,7.5514
10.3400,50.4862,54.4154,0.581298,7.4814
10.3600,50.6104,54.4996,0.596194,7.5030
10.3800,50.7360,54.5803,0.571093,7.4633
10.4000,50.8589,54.6624,0.588698,7.3933
10.4200,50.9778,54.7480,0.623899,7.3233
