t,target_x,target_y,target_vx,target_vy
7.1000,61.3500,55.5500,-1.5000,0.5000
7.1200,61.3200,55.5600,-1.5000,0.5000
7.1400,61.2900,55.5700,-1.5000,0.5000
7.1600,61.2600,55.5800,-1.5000,0.5000
7.1800,61.2300,55.5900,-1.5000,0.5000
7.2000,61.2000,55.6000,-1.5000,0.5000
7.2200,61.1700,55.6100,-1.5000,0.5000
7.2400,61.1400,55.6200,-1.5000,0.5000
7.2600,61.1100,55.6300,-1.5000,0.5000
7.2800,61.0800,55.6400,-1.5000,0.5000
7.3000,61.0500,55.6500,-1.5000,0.5000
7.3200,61.0200,55.6600,-1.5000,0.5000
7.3400,60.9900,55.6700,-1.5000,0.5000
7.3600,60.9600,55.6800,-1.5000,0.5000
7.3800,60.9300,55.6900,-1.5000,0.5000
7.4000,60.9000,55.7000,-1.5000,0.5000
7.4200,60.8700,55.7100,-1.5000,0.5000
7.4400,60.8400,55.7200,-1.5000,0.5000
7.4600,60.8100,55.7300,-1.5000,0.5000
7.4800,60.7800,55.7400,-1.5000,0.5000
7.5000,60.7500,55.7500,-1.5000,0.5000
7.5200,60.7200,55.7600,-1.5000,0.5000
7.5400,60.6900,55.7700,-1.5000,0.5000
7.5600,60.6600,55.7800,-1.5000,0.5000
7.5800,60.6300,55.7900,-1.5000,0.5000
7.6000,60.6000,55.8000,-1.5000,0.5000
7.6200,60.5700,55.8100,-1.5000,0.5000
7.6400,60.5400,55.8200,-1.5000,0.5000
7.6600,60.5100,55.8300,-1.5000,0.5000
7.6800,60.4800,55.8400,-1.5000,0.5000
7.7000,60.4500,55.8500,-1.5000,0.5000
7.7200,60.4200,55.8600,-1.5000,0.5000
7.7400,60.3900,55.8700,-1.5000,0.5000
7.7600,60.3600,55.8800,-1.5000,0.5000
7.7800,60.3300,55.8900,-1.5000,0.5000
7.8000,60.3000,55.9000,-1.5000,0.5000
7.8200,60.2700,55.9100,-1.5000,0.5000
7.8400,60.2400,55.9200,-1.5000,0.5000
7.8600,60.2100,55.9300,-1.5000,0.5000
7.8800,60.1800,55.9400,-1.5000,0.5000
7.9000,60.1500,55.9500,-1.5000,0.5000
7.9200,60.1200,55.9600,-1.5000,0.5000
7.9400,60.0900,55.9700,-1.5000,0.5000
7.9600,60.0600,55.9800,-1.5000,0.5000
7.9800,60.0300,55.9900,-1.5000,0.5000
8.0000,60.0000,56.0000,-1.5000,0.5000
8.0200,59.9700,56.0100,-1.5000,0.5000
8.0400,59.9400,56.0200,-1.5000,0.5000
8.0600,59.9100,56.0300,-1.5000,0.5000
8.0800,59.8800,56.0400,-1.5000,0.5000
8.1000,59.8500,56.0500,-1.5000,0.5000
8.1200,59.8200,56.0600,-1.5000,0.5000
8.1400,59.7900,56.0700,-1.5000,0.5000
8.1600,59.7600,56.0800,-1.5000,0.5000
8.1800,59.7300,56.0900,-1.5000,0.5000
8.2000,59.7000,56.1000,-1.5000,0.5000
8.2200,59.6700,56.1100,-1.5000,0.5000
8.2400,59.6400,56.1200,-1.5000,0.5000
8.2600,59.6100,56.1300,-1.5000,0.5000
8.2800,59.5800,56.1400,-1.5000,0.5000
8.3000,59.5500,56.1500,-1.5000,0.5000
8.3200,59.5200,56.1600,-1.5000,0.5000
8.3400,59.4900,56.1700,-1.5000,0.5000
8.3600,59.4600,56.1800,-1.5000,0.5000
8.3800,59.4300,56.1900,-1.5000,0.5000
8.4000,59.4000,56.2000,-1.5000,0.5000
8.4200,59.3700,56.2100,-1.5000,0.5000
8.4400,59.3400,56.2200,-1.5000,0.5000
8.4600,59.3100,56.2300,-1.5000,0.5000
8.4800,59.2800,56.2400,-1.5000,0.5000
8.5000,59.2500,56.2500,-1.5000,0.5000
8.5200,59.2200,56.2600,-1.5000,0.5000
8.5400,59.1900,56.2700,-1.5000,0.5000
8.5600,59.1600,56.2800,-1.5000,0.5000
8.5800,59.1300,56.2900,-1.5000,0.5000
8.6000,59.1000,56.3000,-1.5000,0.5000
8.6200,59.0700,56.3100,-1.5000,0.5000
8.6400,59.0400,56.3200,-1.5000,0.5000
8.6600,59.0100,56.3300,-1.5000,0.5000
8.6800,58.9800,56.3400,-1.5000,0.5000
8.7000,58.9500,56.3500,-1.5000,0.5000
8.7200,58.9200,56.3600,-1.5000,0.5000
8.7400,58.8900,56.3700,-1.5000,0.5000
8.7600,58.8600,56.3800,-1.5000,0.5000
8.7800,58.8300,56.3900,-1.5000,0.5000
8.8000,58.8000,56.4000,-1.5000,0.5000
8.8200,58.7700,56.4100,-1.5000,0.5000
8.8400,58.7400,56.4200,-1.5000,0.5000
8.8600,58.7100,56.4300,-1.5000,0.5000
8.8800,58.6800,56.4400,-1.5000,0.5000
8.9000,58.6500,56.4500,-1.5000,0.5000
8.9200,58.6200,56.4600,-1.5000,0.5000
8.9400,58.5900,56.4700,-1.5000,0.5000
8.9600,58.5600,56.4800,-1.5000,0.5000
8.9800,58.5300,56.4900,-1.5000,0.5000
9.0000,58.5000,56.5000,-1.5000,0.5000
9.0200,58.4700,56.5100,-1.5000,0.5000
9.0400,58.4400,56.5200,-1.5000,0.5000
9.0600,58.4100,56.5300,-1.5000,0.5000
9.0800,58.3800,56.5400,-1.5000,0.5000
9.1000,58.3500,56.5500,-1.5000,0.5000
9.1200,58.3200,56.5600,-1.5000,0.5000
9.1400,58.2900,56.5700,-1.5000,0.5000
9.1600,58.2600,56.5800,-1.5000,0.5000
9.1800,58.2300,56.5900,-1.5000,0.5000
9.2000,58.2000,56.6000,-1.5000,0.5000
9.2200,58.1700,56.6100,-1.5000,0.5000
9.2400,58.1400,56.6200,-1.5000,0.5000
9.2600,58.1100,56.6300,-1.5000,0.5000
9.2800,58.0800,56.6400,-1.5000,0.5000
9.3000,58.0500,56.6500,-1.5000,0.5000
9.3200,58.0200,56.6600,-1.5000,0.5000
9.3400,57.9900,56.6700,-1.5000,0.5000
9.3600,57.9600,56.6800,-1.5000,0.5000
