t,x,y,yaw,v
8.0200,27.4207,34.3389,0.971270,5.2000
8.0400,27.4794,34.4248,0.971270,5.2000
8.0600,27.5381,34.5106,0.971270,5.2000
8.0800,27.5968,34.5965,0.971270,5.2000
8.1000,27.6554,34.6824,0.971270,5.2000
8.1200,27.7141,34.7682,0.971270,5.2000
8.1400,27.7728,34.8541,0.971270,5.2000
8.1600,27.8315,34.9399,0.971270,5.2000
8.1800,27.8902,35.0258,0.971270,5.2000
8.2000,27.9488,35.1117,0.971270,5.2000
8.2200,28.0075,35.1975,0.971270,5.2000
8.2400,28.0662,35.2834,0.971270,5.2000
8.2600,28.1249,35.3693,0.971270,5.2000
8.2800,28.1836,35.4551,0.971270,5.2000
8.3000,28.2423,35.5410,0.971270,5.2000
8.3200,28.3009,35.6268,0.971270,5.2000
8.3400,28.3596,35.7127,0.971270,5.2000
8.3600,28.4183,35.7986,0.971270,5.2000
8.3800,28.4770,35.8844,0.971270,5.2000
8.4000,28.5357,35.9703,0.971270,5.2000
8.4200,28.5943,36.0562,0.971270,5.2000
8.4400,28.6530,36.1420,0.971270,5.2000
8.4600,28.7117,36.2279,0.971270,5.2000
8.4800,28.7704,36.3137,0.971270,5.2000
8.5000,28.8291,36.3996,0.971270,5.2000
8.5200,28.8878,36.4855,0.971270,5.2000
8.5400,28.9464,36.5713,0.971270,5.2000
8.5600,29.0051,36.6572,0.971270,5.2000
8.5800,29.0638,36.7431,0.971270,5.2000
8.6000,29.1225,36.8289,0.971270,5.2000
8.6200,29.1812,36.9148,0.971270,5.2000
8.6400,29.2399,37.0006,0.971270,5.2000
8.6600,29.2985,37.0865,0.971270,5.2000
8.6800,29.3572,37.1724,0.971270,5.2000
8.7000,29.4159,37.2582,0.971270,5.2000
8.7200,29.4746,37.3441,0.971270,5.2000
8.7400,29.5333,37.4300,0.971270,5.2000
8.7600,29.5919,37.5158,0.971270,5.2000
8.7800,29.6506,37.6017,0.971270,5.2000
8.8000,29.7093,37.6875,0.971270,5.2000
8.8200,29.7680,37.7734,0.971270,5.2000
8.8400,29.8267,37.8593,0.971270,5.2000
8.8600,29.8854,37.9451,0.971270,5.2000
8.8800,29.9440,38.0310,0.971270,5.2000
8.9000,30.0027,38.1169,0.971270,5.2000
8.9200,30.0614,38.2027,0.971270,5.2000
8.9400,30.1201,38.2886,0.971270,5.2000
8.9600,30.1788,38.3745,0.971270,5.2000
8.9800,30.2374,38.4603,0.971270,5.2000
9.0000,30.2961,38.5462,0.971270,5.2000
9.0200,30.3548,38.6320,0.971270,5.2000
9.0400,30.4135,38.7179,0.971270,5.2000
9.0600,30.4722,38.8038,0.971270,5.2000
9.0800,30.5309,38.8896,0.971270,5.2000
9.1000,30.5895,38.9755,0.971270,5.2000
9.1200,30.6482,39.0614,0.971270,5.2000
9.1400,30.7069,39.1472,0.971270,5.2000
9.1600,30.7656,39.2331,0.971270,5.2000
9.1800,30.8243,39.3189,0.971270,5.2000
9.2000,30.8830,39.4048,0.971270,5.2000
9.2200,30.9416,39.4907,0.971270,5.2000
9.2400,31.0003,39.5765,0.971270,5.2000
9.2600,31.0590,39.6624,0.971270,5.2000
9.2800,31.1177,39.7483,0.971270,5.2000
9.3000,31.1764,39.8341,0.971270,5.2000
9.3200,31.2350,39.9200,0.971270,5.2000
9.3400,31.2937,40.0058,0.971270,5.2000
9.3600,31.3524,40.0917,0.971270,5.2000
9.3800,31.4111,40.1776,0.971270,5.2000
9.4000,31.4698,40.2634,0.971270,5.2000
9.4200,31.5285,40.3493,0.971270,5.2000
9.4400,31.5871,40.4352,0.971270,5.2000
9.4600,31.6458,40.5210,0.971270,5.2000
9.4800,31.7045,40.6069,0.971270,5.2000
9.5000,31.7632,40.6927,0.971270,5.2000
9.5200,31.8219,40.7786,0.971270,5.2000
9.5400,31.8805,40.8645,0.971270,5.2000
9.5600,31.9392,40.9503,0.971270,5.2000
9.5800,31.9979,41.0362,0.971270,5.2000
9.6000,32.0566,41.1221,0.971270,5.2000
9.6200,32.1153,41.2079,0.971270,5.2000
9.6400,32.1740,41.2938,0.971270,5.2000
9.6600,32.2326,41.3796,0.971270,5.2000
9.6800,32.2913,41.4655,0.971270,5.2000
9.7000,32.3500,41.5514,0.971270,5.2000
9.7200,32.4087,41.6372,0.971270,5.2000
9.7400,32.4674,41.7231,0.971270,5.2000
9.7600,32.5261,41.8090,0.971270,5.2000
9.7800,32.5847,41.8948,0.971270,5.2000
9.8000,32.6434,41.9807,0.971270,5.2000
9.8200,32.7021,42.0665,0.971270,5.2000
9.8400,32.7608,42.1524,0.971270,5.2000
9.8600,32.8195,42.2383,0.971270,5.2000
9.8800,32.8781,42.3241,0.971270,5.2000
9.9000,32.9368,42.4100,0.971270,5.2000
9.9200,32.9955,42.4959,0.971270,5.2000
9.9400,33.0542,42.5817,0.971270,5.2000
9.9600,33.1129,42.6676,0.971270,5.2000
9.9800,33.1716,42.7534,0.971270,5.2000
10.0000,33.2302,42.8393,0.971270,5.2000
10.0200,33.2889,42.9252,0.971270,5.2000
10.0400,33.3476,43.0110,0.971270,5.2000
10.0600,33.4063,43.0969,0.971270,5.2000
10.0800,33.4650,43.1828,0.971270,5.2000
10.1000,33.5236,43.2686,0.971270,5.2000
10.1200,33.5823,43.3545,0.971270,5.2000
10.1400,33.6410,43.4404,0.971270,5.2000
10.1600,33.6997,43.5262,0.971270,5.2000
10.1800,33.7584,43.6121,0.971270,5.2000
10.2000,33.8171,43.6979,0.971270,5.2000
10.2200,33.8757,43.7838,0.971270,5.2000
10.2400,33.9344,43.8697,0.971270,5.2000
10.2600,33.9931,43.9555,0.971270,5.2000
10.2800,34.0518,44.0414,0.971270,5.2000
