t,steer_rad,accel,v_ref,cte,wp_idx
4.6800,0.000000,0.663887,5.2000,17.3869,1
4.7000,0.000000,0.663887,5.2000,17.4905,1
4.7200,0.000000,0.663887,5.2000,17.5941,1
4.7400,0.000000,0.663887,5.2000,17.6977,1
4.7600,0.000000,0.663887,5.2000,17.8013,1
4.7800,0.000000,0.663887,5.2000,17.9049,1
4.8000,0.000000,0.663887,5.2000,18.0085,1
4.8200,0.000000,0.663887,5.2000,18.1121,1
4.8400,0.000000,0.663887,5.2000,18.2157,1
4.8600,0.000000,0.663887,5.2000,18.3193,1
4.8800,0.000000,0.663887,5.2000,18.4229,1
4.9000,0.000000,0.663887,5.2000,18.5266,1
4.9200,0.000000,0.663887,5.2000,18.6302,1
4.9400,0.000000,0.663887,5.2000,18.7338,1
4.9600,0.000000,0.663887,5.2000,18.8375,1
4.9800,0.000000,0.663887,5.2000,18.9411,1
5.0000,0.000000,0.663887,5.2000,19.0448,1
5.0200,0.000000,0.663887,5.2000,19.1484,1
5.0400,0.000000,0.663887,5.2000,19.2521,1
5.0600,0.000000,0.663887,5.2000,19.3557,1
5.0800,0.000000,0.663887,5.2000,19.4594,1
5.1000,0.000000,0.663887,5.2000,19.5630,1
5.1200,0.000000,0.663887,5.2000,19.6667,1
5.1400,0.000000,0.663887,5.2000,19.7704,1
5.1600,0.000000,0.663887,5.2000,19.8741,1
5.1800,0.000000,0.663887,5.2000,19.9777,1
5.2000,0.000000,0.663887,5.2000,20.0814,1
5.2200,0.000000,0.663887,5.2000,20.1851,1
5.2400,0.000000,0.663887,5.2000,20.2888,1
5.2600,0.000000,0.663887,5.2000,20.3925,1
5.2800,0.000000,0.663887,5.2000,20.4962,1
5.3000,0.000000,0.663887,5.2000,20.5999,1
5.3200,0.000000,0.663887,5.2000,20.7036,1
5.3400,0.000000,0.663887,5.2000,20.8073,1
5.3600,0.000000,0.663887,5.2000,20.9110,1
5.3800,0.000000,0.663887,5.2000,21.0147,1
5.4000,0.000000,0.663887,5.2000,21.1184,1
5.4200,0.000000,0.663887,5.2000,21.2221,1
5.4400,0.000000,0.663887,5.2000,21.3259,1
5.4600,0.000000,0.663887,5.2000,21.4296,1
5.4800,0.000000,0.663887,5.2000,21.5333,1
5.5000,0.000000,0.663887,5.2000,21.6370,1
5.5200,0.000000,0.663887,5.2000,21.7408,1
5.5400,0.000000,0.663887,5.2000,21.8445,1
5.5600,0.000000,0.663887,5.2000,21.9482,1
